Vegetable,Wholesale Price,Retail Price,Market,Shopping Mall,Units,Date
,Onion Big,₹20,23 - 25,24 - 33,1kg,2025-05-02
,Onion Small,₹48,55 - 61,58 - 79,1kg,2025-05-02
,Tomato,₹18,21 - 23,22 - 30,1kg,2025-05-02
,Green Chilli,₹40,46 - 51,48 - 66,1kg,2025-05-02
,Beetroot,₹32,37 - 41,38 - 53,1kg,2025-05-02
,Potato,₹28,32 - 36,34 - 46,1kg,2025-05-02
,Raw Banana (Plantain),₹8,9 - 10,10 - 13,1kg,2025-05-02
,Amaranth Leaves,₹14,16 - 18,17 - 23,1kg,2025-05-02
,Amla,₹75,86 - 95,90 - 124,1kg,2025-05-02
,Ash gourd,₹21,24 - 27,25 - 35,1kg,2025-05-02
,Baby Corn,₹47,54 - 60,56 - 78,1kg,2025-05-02
,Banana Flower,₹17,20 - 22,20 - 28,1kg,2025-05-02
,Capsicum,₹46,53 - 58,55 - 76,1kg,2025-05-02
,Bitter Gourd,₹33,38 - 42,40 - 54,1kg,2025-05-02
,Bottle Gourd,₹27,31 - 34,32 - 45,1kg,2025-05-02
,Butter Beans,₹48,55 - 61,58 - 79,1kg,2025-05-02
,Broad Beans,₹33,38 - 42,40 - 54,1kg,2025-05-02
,Cabbage,₹19,22 - 24,23 - 31,1kg,2025-05-02
,Carrot,₹40,46 - 51,48 - 66,1kg,2025-05-02
,Cauliflower,₹26,30 - 33,31 - 43,1kg,2025-05-02
,Cluster beans,₹41,47 - 52,49 - 68,1kg,2025-05-02
,Coconut,₹66,76 - 84,79 - 109,1kg,2025-05-02
,Colocasia Leaves,₹14,16 - 18,17 - 23,1kg,2025-05-02
,Colocasia,₹27,31 - 34,32 - 45,1kg,2025-05-02
,Coriander Leaves,₹14,16 - 18,17 - 23,1kg,2025-05-02
,Corn,₹31,36 - 39,37 - 51,1kg,2025-05-02
,Cucumber,₹25,29 - 32,30 - 41,1kg,2025-05-02
,Curry Leaves,₹26,30 - 33,31 - 43,1kg,2025-05-02
,Dill Leaves,₹15,17 - 19,18 - 25,1kg,2025-05-02
,Drumsticks,₹40,46 - 51,48 - 66,1kg,2025-05-02
,Brinjal,₹38,44 - 48,46 - 63,1kg,2025-05-02
,Brinjal (Big),₹34,39 - 43,41 - 56,1kg,2025-05-02
,Elephant Yam,₹42,48 - 53,50 - 69,1kg,2025-05-02
,Fenugreek Leaves,₹10,12 - 13,12 - 17,1kg,2025-05-02
,French Beans,₹54,62 - 69,65 - 89,1kg,2025-05-02
,Garlic,₹94,108 - 119,113 - 155,1kg,2025-05-02
,Ginger,₹62,71 - 79,74 - 102,1kg,2025-05-02
,Onion Green,₹38,44 - 48,46 - 63,1kg,2025-05-02
,Green Peas,₹47,54 - 60,56 - 78,1kg,2025-05-02
,Ivy Gourd,₹33,38 - 42,40 - 54,1kg,2025-05-02
,Lemon (Lime),₹65,75 - 83,78 - 107,1kg,2025-05-02
,Mango Raw,₹40,46 - 51,48 - 66,1kg,2025-05-02
,Mint Leaves,₹5,6 - 6,6 - 8,1kg,2025-05-02
,Mushroom,₹87,100 - 110,104 - 144,1kg,2025-05-02
,Mustard Leaves,₹17,20 - 22,20 - 28,1kg,2025-05-02
,Ladies Finger,₹31,36 - 39,37 - 51,1kg,2025-05-02
,Pumpkin,₹20,23 - 25,24 - 33,1kg,2025-05-02
,Radish,₹28,32 - 36,34 - 46,1kg,2025-05-02
,Ridge Gourd,₹34,39 - 43,41 - 56,1kg,2025-05-02
,Shallot (Pearl Onion),₹31,36 - 39,37 - 51,1kg,2025-05-02
,Snake Gourd,₹32,37 - 41,38 - 53,1kg,2025-05-02
,Sorrel Leaves,₹11,13 - 14,13 - 18,1kg,2025-05-02
,Spinach,₹15,17 - 19,18 - 25,1kg,2025-05-02
,Sweet Potato,₹55,63 - 70,66 - 91,1kg,2025-05-02
